,Endothelial Cells,Cardiac Muscle Cells,Hepatocyte,Smooth Muscle Cells,Cardiac Fibroblast,Macrophages
ZNF555,0.246379286498111,0.330479798616427,0.214510698100643,0.133135756930789,0.20516967010498,0.195334434509277
ZNF556,0.0113069669558452,0.011148535171207,0.00730763069252228,0.045045045045045,0.000546929240226746,0.00272653876124202
ZNF57,0.0727967761470945,0.118156058824699,0.130660519510152,0.045045045045045,0.107316530406475,0.111194649258175
ZNF77,0.190949909928592,0.199756079949413,0.31494223589849,0,0.08,0.121566572704831
TLE6,0.0594019412099756,1.18380384633807,0.402568826443346,0.27027027027027,0.2,0.498301976435893
TLE2,1.02114798715635,0.422627122707453,0.754336171023226,0.620230101921537,1.29284261634201,0.128000323962722
AES,1.83124990931653,1.59766499377182,1.33762089405944,1.07161616930017,1.4572520146966,1.26915192291946
GNA11,1.76503847800055,0.611260405961246,0.526906859283605,1.10501009950767,0.75687264624238,0.301630961129794
GNA15,0.00183191201029307,0.000232547790453221,0,0,0,0.125341824583105
S1PR4,0.0461104604808743,0.00073359121803109,0.00120692600943388,0.0104097879684723,0,0.232910480048205
NCLN,0.460552161012201,0.49945092802243,0.69821377535059,0.241386344840935,0.26572608423233,0.412216924332284
CELF5,0,1.08574187563659,0.603652317880818,0,0,0.135135135135135
NFIC,0.685860172657062,0.613795785067085,0.108620132168257,0.685381481776366,1.45783121885359,0.38030252701326
SMIM24,0.000874154339588158,0.00252014069322246,0.00514033636552024,0,0,0
DOHH,0.382265389569481,0.34012150306159,0.479589199560076,0.339158764830581,0.322638169288635,0.0823019001934979
FZR1,0.272746087373086,0.312653790791774,0.37779958085033,0.33512337895127,0.291442153453827,0.0778708586821685
RF00212-2,0,0,0,0,0,0
MFSD12,0.295999391312671,0.411879986909261,0.494786368667587,0.265962148571874,0.119198649406433,0.211395743730906
C19orf71,0,0.00138792505204719,0,0,0,0
HMG20B,0.584899989407908,0.687315900755127,0.711024079495772,0.498338407291485,0.550356771677732,0.266725698032895
GIPC3,0.845659010105296,0.0427200657555331,0.00250674443468246,0.045045045045045,0.08,0
TBXA2R,0.964730405220395,0.00548611147216754,0.00557502154585853,0.106001860386616,0.04,0
CACTIN-AS1,0.0150093808630394,0.00413512521779512,0.00918273645546373,0.045045045045045,0,0
CACTIN,0.292812389772784,0.196901383572035,0.213428233554322,0.330565963779484,0.289969319343567,0
PIP5K1C,1.90364052176993,0.40924692624646,0.442553057951923,0.342826195665308,0.232531386852264,0.380632793581164
TJP3,0.000799502217076285,0.027753371318788,0.236961076684344,0,0.000264818280935287,0.0980806717196026
APBA3,0.317006214072065,0.197809049518136,0.251426798362487,0.146450575407561,0.227981211662292,0.159616856961637
MRPL54,0.749345796573453,1.49030372895026,1.31731000329181,0.457635445134328,0.647827280759811,0.603132798865035
RAX2,0,0.0011312735568807,0,0,0,0
MATK,0.0197906961339556,0.0377090135396644,0.0240527200140572,0,0,0.526685852456737
ZFR2,0.0139131805462864,1.10320031627196,0.815568746285662,0,0,0
FTLP5,0,0,0,0,0,0
ATCAY,0.0112351877380715,0.00724973916841993,0.028103908559836,0.00248895706357183,0,0
RN7SL202P,0,0.00138792505204719,0,0,0,0
NMRK2,0.0110361337214429,1.91025393199457,1.03332308161905,0.424131262409794,0,0.27027027027027
DAPK3,0.739510370262568,0.773783775512581,0.856800357117578,1.12775306000903,0.37303999710083,0.214613231452736
MIR637,0,0,0,0,0,0
EEF2,1.32736482248531,1.9848097267538,1.79920283228132,1.3447899945869,1.83973720943183,1.25283394864685
SNORD37,0,0,0,0,0,0
PIAS4,0.411650280254643,0.486134741641064,0.499995622999412,0.357639346976538,0.289296885028481,0.129031115488426
ZBTB7A,0.781478089351193,0.230317595326015,0.313191060151279,0.612520836176233,0.655710451152176,0.324365177292477
MAP2K2,0.635424227091898,1.44885968428718,1.52685795049803,0.556290290377161,0.734863121554255,1.07184931827155
RF00017-135,0.00375234521575985,0,0,0,0,0
CREB3L3,0,0.00284481475454168,0.129204212798232,0,0,0
SIRT6,0.381007145303275,0.496229529686887,0.60775812461466,0.147147737107835,0.336653489947319,0.432028519140708
ANKRD24,0.00375234521575985,0.0717373133202049,0.0526337356497324,0,0,0.135135135135135
EBI3,0.055368320613149,0.0149232204716541,0.0383330863807265,0,0,0.472834239134917
YJU2,0.342564038862431,0.344565164993241,0.367629018997905,0.194136181393185,0.291771869421005,0.200279719926216
SHD,0.00375234521575985,1.60874152137206,0.22678220917918,0,0.16,0
TMIGD2,0.00157493914269596,0.0175256413440585,0.00906527036915579,0,0,0.587428595568683
FSD1,0.0601949912745778,0.782135461069163,0.829080397049367,0,0,0
STAP2,0.124568369497473,0.263558397543443,0.730727967425592,0.0881625832738103,0,0.0262367789809768
MPND,0.155933509713937,0.532608520504834,0.546808114174422,0.130725704871856,0.108422239303589,0.270524179613268
EIF1P6,0.00375234521575985,0.00370363623296776,0,0,0.04,0
SH3GL1,0.589431520656632,0.653110934040101,0.888540277303743,0.353593318312018,0.456927206039429,0.652776284797772
CHAF1A,0.118994858967207,0.35187769018884,1.11168103424971,0,0.275773076951504,0
UBXN6,0.518887811552517,0.826504566177395,0.525510876200908,0.692290908010962,0.635634473592043,0.527883937985108
MIR4746,0,0,0,0,0,0
HDGFL2,0.349910222846616,1.29471888481371,1.46314095635278,0.479798669213647,0.453548666134477,0.373356375843287
PLIN4,0.0204664529152704,0.0132213397294097,0.0314819142838155,0.045045045045045,0,0
PLIN5,0.0148225918943394,0.100175408660166,0.0805620026763587,0.0201069363602647,0,0
LRG1,0.0256390586131957,0.00381721096846232,0.0543569650422334,0,0,0
SEMA6B,1.43314659724652,0.515916993752856,0.404409794083859,0.0400308037663365,0.133607521057129,0.208082986844553
TNFAIP8L1,1.20615699848415,0.08792000501045,0.237825028632517,0.149360748024674,0.0350419502258301,0
MYDGF,1.07031763705511,0.846942800908019,1.4212432008979,0.341524439889031,0.890725310921669,0.386209901673971
DPP9,0.687673799068043,0.321670533320107,0.448003709665179,0.282954748686369,0.351994251728058,0.36338875261513
DPP9-AS1,3.11846692834965e-05,0.00395841975744858,0.00855302766882246,0,0,0
MIR7-3HG,0,0,0,0,0,0
MIR7-3,0,0,0,0,0,0
